"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"LeBlanc","Middle",2,"6.7%","0.0%","6.7%","50%","100%",10,6,6,2.7,"61.5%","18.2%","0%",-50,603,13.5,7.9,"22.7%",543,"29.8%","24.2%",0.4,0.17
"Leona","Support",7,"23.3%","10.0%","33.3%","43%","71%",6,24,49,2.3,"72.4%","20.7%","0%",-177,-172,-0.1,1.2,"2.6%",88,"5.5%","9.0%",1.72,0.45
"Lillia","Jungle",9,"30.0%","3.3%","33.3%","33%","67%",21,22,46,3,"69.1%","18.8%","11%",-9,135,0.3,6.4,"17.1%",312,"17.3%","19.2%",0.34,0.27
"Lucian","ADC",1,"3.3%","3.3%","10.0%","0%","100%",0,4,2,0.5,"66.7%","19.0%","0%",-719,-372,-13,9.1,"29.8%",286,"20.3%","24.0%",0.3,0.19
"Lucian","Middle",1,"3.3%","3.3%","10.0%","0%","0%",1,5,2,0.6,"33.3%","22.7%","0%",233,269,12,6.9,"25.5%",447,"17.0%","20.9%",0.34,0.22
"Lulu","Top",1,"3.3%","3.3%","6.7%","100%","100%",2,2,11,6.5,"92.9%","20.0%","0%",0,-268,1,4.4,"9.0%",269,"12.9%","14.2%",0.42,0.11
"Malzahar","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Support",1,"3.3%","0.0%","3.3%","0%","100%",0,3,2,0.7,"25.0%","20.0%","0%",-1177,-622,-71,1.5,"4.3%",305,"14.2%","7.8%",0.87,0.16
"Miss Fortune","ADC",5,"16.7%","6.7%","23.3%","80%","100%",18,10,36,5.4,"68.4%","20.8%","20%",2,53,2.6,8.9,"25.9%",419,"22.6%","23.4%",0.54,0.34
"Nautilus","Support",5,"16.7%","3.3%","20.0%","40%","80%",1,16,34,2.2,"64.8%","26.2%","60%",-109,187,1.8,1.3,"3.1%",137,"8.5%","7.9%",1.47,0.39
"Nidalee","-",0,"0%","16.7%","16.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nocturne","Jungle",1,"3.3%","10.0%","13.3%","0%","100%",5,4,10,3.8,"65.2%","19.0%","0%",131,362,10,5.7,"18.5%",402,"19.3%","19.1%",0.4,0.16
"Olaf","Jungle",6,"20.0%","80.0%","100.0%","83%","50%",16,13,29,3.5,"60.8%","17.1%","17%",-286,-155,-5.2,6.1,"17.9%",280,"15.1%","19.0%",0.33,0.44
